MGYP,Biome Category,Biome Type,Biome Subtype,Ecosystem Type,Specific Ecosystem
MGYP000000639651,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000001918706,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000002868012,Environmental,Aquatic,Aquaculture,,
MGYP000002868012,Environmental,Aquatic,Marine,,
MGYP000005098346,Engineered,Wastewater,Activated Sludge,,
MGYP000010339471,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000012059582,Host-associated,Human,Digestive system,,
MGYP000012059582,Host-associated,Human,Digestive system,Large intestine,
MGYP000012059582,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000013266575,Host-associated,Human,Digestive system,Large intestine,
MGYP000013266575,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000014250595,Host-associated,Human,Digestive system,,
MGYP000014250595,Host-associated,Human,Digestive system,Large intestine,
MGYP000014413890,Host-associated,Human,,,
MGYP000014413890,Host-associated,Human,Digestive system,,
MGYP000014413890,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000014413890,Host-associated,Human,Digestive system,Oral,
MGYP000014413890,Host-associated,Human,Digestive system,Oral,Saliva
MGYP000016510006,Host-associated,Human,Digestive system,,
MGYP000016510006,Host-associated,Human,Digestive system,Large intestine,
MGYP000016510006,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000016735148,Engineered,Wastewater,,,
MGYP000016735148,Mixed,,,,
MGYP000020747349,Host-associated,Human,,,
MGYP000020747349,Host-associated,Human,Digestive system,,
MGYP000020747349,Host-associated,Human,Digestive system,Large intestine,
MGYP000020747349,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000020747349,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000020747349,Host-associated,Mammals,Digestive system,Fecal,
MGYP000020747349,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000022196991,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000022576213,Host-associated,Human,Digestive system,,
MGYP000026361128,Environmental,Aquatic,Marine,,
MGYP000026633983,Host-associated,Human,Digestive system,,
MGYP000026633983,Host-associated,Human,Digestive system,Large intestine,
MGYP000026633983,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000026633983,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000037551163,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000039861177,Host-associated,Human,Digestive system,,
MGYP000048668637,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000061957562,Host-associated,Human,Digestive system,,
MGYP000061957562,Host-associated,Human,Digestive system,Large intestine,
MGYP000061957562,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000061957562,Mixed,,,,
MGYP000064826915,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000081789507,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000084675082,Environmental,Aquatic,Marine,Oceanic,
MGYP000091752113,Host-associated,Human,Digestive system,,
MGYP000091752113,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000097419240,Host-associated,Human,,,
MGYP000097419240,Host-associated,Human,Digestive system,,
MGYP000097419240,Host-associated,Human,Digestive system,Large intestine,
MGYP000097419240,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000097419240,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000097419240,Host-associated,Mammals,Digestive system,Fecal,
MGYP000098784662,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000099485684,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000102431369,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000109747714,Host-associated,Human,Digestive system,,
MGYP000109747714,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000110692035,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000115139434,Host-associated,Human,,,
MGYP000115139434,Host-associated,Human,Digestive system,,
MGYP000115139434,Host-associated,Human,Digestive system,Large intestine,
MGYP000115139434,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000115362497,Engineered,Wastewater,,,
MGYP000115362497,Engineered,Wastewater,Water and sludge,,
MGYP000115362497,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000115362497,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000118000528,Host-associated,Human,Digestive system,,
MGYP000118000528,Host-associated,Human,Digestive system,Large intestine,
MGYP000118000528,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000118000528,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000118324866,Host-associated,Human,Digestive system,,
MGYP000126615706,Environmental,Aquatic,Marine,,
MGYP000126860043,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000126911704,Host-associated,Human,,,
MGYP000126911704,Host-associated,Human,Digestive system,,
MGYP000126911704,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000126911704,Host-associated,Human,Digestive system,Oral,
MGYP000126911704,Host-associated,Human,Digestive system,Oral,Saliva
MGYP000126911704,Host-associated,Human,Skin,,
MGYP000128063566,Environmental,Aquatic,Marine,Oceanic,
MGYP000128063566,Environmental,Aquatic,Marine,Oceanic,Photic zone
MGYP000128322196,Host-associated,Human,Digestive system,,
MGYP000129765796,Host-associated,Human,Digestive system,,
MGYP000129765796,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000129765796,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000130361336,Host-associated,Human,Digestive system,,
MGYP000130361336,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000130361336,Host-associated,Mammals,Digestive system,Large intestine,Fecal
