MGYA00454601	ERZ1284728
MGYA00454602	ERZ1284729
MGYA00510729	ERZ484593
MGYA00510835	ERZ484599
MGYA00510834	ERZ484600
MGYA00510829	ERZ484613
MGYA00510634	ERZ484618
MGYA00510720	ERZ484626
MGYA00510719	ERZ484631
MGYA00510812	ERZ484644
MGYA00510712	ERZ484664
MGYA00510709	ERZ484675
MGYA00510790	ERZ484689
MGYA00241123	ERZ501142
MGYA00241079	ERZ501143
MGYA00241124	ERZ501144
MGYA00241080	ERZ501145
MGYA00241125	ERZ501146
MGYA00241081	ERZ501147
MGYA00241126	ERZ501148
MGYA00241082	ERZ501149
MGYA00241127	ERZ501150
MGYA00241083	ERZ501151
MGYA00241128	ERZ501152
MGYA00241084	ERZ501153
MGYA00241129	ERZ501154
MGYA00241085	ERZ501155
MGYA00241130	ERZ501156
MGYA00241086	ERZ501157
MGYA00241131	ERZ501158
MGYA00241132	ERZ501159
MGYA00241087	ERZ501160
MGYA00241133	ERZ501161
MGYA00241088	ERZ501162
MGYA00241134	ERZ501163
MGYA00241089	ERZ501164
MGYA00241090	ERZ501165
MGYA00241135	ERZ501166
MGYA00241091	ERZ501167
MGYA00241136	ERZ501168
MGYA00241092	ERZ501169
MGYA00241137	ERZ501170
MGYA00241266	ERZ501171
MGYA00241138	ERZ501172
MGYA00241267	ERZ501173
MGYA00241158	ERZ501174
MGYA00241268	ERZ501175
MGYA00241159	ERZ501176
MGYA00241269	ERZ501177
MGYA00241160	ERZ501178
MGYA00241270	ERZ501179
MGYA00241161	ERZ501180
MGYA00241271	ERZ501181
MGYA00241162	ERZ501182
MGYA00241272	ERZ501183
MGYA00241163	ERZ501184
MGYA00241273	ERZ501185
MGYA00241164	ERZ501186
MGYA00241274	ERZ501187
MGYA00241165	ERZ501188
MGYA00241275	ERZ501189
MGYA00241166	ERZ501190
MGYA00241276	ERZ501191
MGYA00241167	ERZ501192
MGYA00241277	ERZ501193
MGYA00241168	ERZ501194
MGYA00241278	ERZ501195
MGYA00241169	ERZ501196
MGYA00241279	ERZ501197
MGYA00241170	ERZ501198
MGYA00241280	ERZ501199
MGYA00241171	ERZ501200
MGYA00241281	ERZ501201
MGYA00241172	ERZ501202
MGYA00241282	ERZ501203
MGYA00241173	ERZ501204
MGYA00241283	ERZ501205
MGYA00241174	ERZ501206
MGYA00241284	ERZ501207
MGYA00241175	ERZ501208
MGYA00241285	ERZ501209
MGYA00241176	ERZ501210
MGYA00241286	ERZ501211
MGYA00241177	ERZ501212
MGYA00241287	ERZ501213
MGYA00241178	ERZ501214
MGYA00241288	ERZ501215
MGYA00241179	ERZ501216
MGYA00241311	ERZ501217
MGYA00241180	ERZ501218
MGYA00241312	ERZ501219
MGYA00241203	ERZ501220
MGYA00241313	ERZ501221
MGYA00241204	ERZ501222
MGYA00241314	ERZ501223
MGYA00241205	ERZ501224
MGYA00241315	ERZ501225
MGYA00241206	ERZ501226
MGYA00241316	ERZ501227
MGYA00241207	ERZ501228
MGYA00241317	ERZ501229
MGYA00241208	ERZ501230
MGYA00241318	ERZ501231
MGYA00241209	ERZ501232
MGYA00241319	ERZ501233
MGYA00241210	ERZ501234
MGYA00241320	ERZ501235
MGYA00241211	ERZ501236
MGYA00241321	ERZ501237
MGYA00241212	ERZ501238
MGYA00241322	ERZ501239
MGYA00241213	ERZ501240
MGYA00241323	ERZ501241
MGYA00241214	ERZ501242
MGYA00241324	ERZ501243
MGYA00241325	ERZ501245
MGYA00241216	ERZ501246
MGYA00241326	ERZ501247
MGYA00241217	ERZ501248
MGYA00241327	ERZ501249
MGYA00241218	ERZ501250
MGYA00241328	ERZ501251
MGYA00241219	ERZ501252
MGYA00241329	ERZ501253
MGYA00241220	ERZ501254
MGYA00241221	ERZ501256
MGYA00241331	ERZ501257
MGYA00241244	ERZ501263
MGYA00241356	ERZ501264
MGYA00241245	ERZ501265
MGYA00241358	ERZ501267
MGYA00241246	ERZ501268
MGYA00241359	ERZ501269
MGYA00241544	ERZ501270
MGYA00241360	ERZ501271
MGYA00241545	ERZ501272
MGYA00241361	ERZ501273
MGYA00241546	ERZ501274
MGYA00241362	ERZ501275
MGYA00241547	ERZ501276
MGYA00241363	ERZ501277
MGYA00241548	ERZ501278
MGYA00241364	ERZ501279
MGYA00241549	ERZ501280
MGYA00241365	ERZ501281
MGYA00241550	ERZ501282
MGYA00241366	ERZ501283
MGYA00241551	ERZ501284
MGYA00241367	ERZ501285
MGYA00241368	ERZ501287
MGYA00241553	ERZ501288
MGYA00241369	ERZ501289
MGYA00241554	ERZ501290
MGYA00241370	ERZ501291
MGYA00241555	ERZ501292
MGYA00241371	ERZ501293
MGYA00241556	ERZ501294
MGYA00241372	ERZ501295
MGYA00241557	ERZ501296
MGYA00241373	ERZ501297
MGYA00241598	ERZ501298
MGYA00241374	ERZ501299
MGYA00241599	ERZ501300
MGYA00241375	ERZ501301
MGYA00241600	ERZ501302
MGYA00241376	ERZ501303
MGYA00241601	ERZ501304
MGYA00241399	ERZ501305
MGYA00241602	ERZ501306
MGYA00241400	ERZ501307
MGYA00241603	ERZ501308
MGYA00241401	ERZ501309
MGYA00241604	ERZ501310
MGYA00241402	ERZ501311
MGYA00241605	ERZ501312
MGYA00241403	ERZ501313
MGYA00241606	ERZ501314
MGYA00241404	ERZ501315
MGYA00241607	ERZ501316
MGYA00241405	ERZ501317
MGYA00241608	ERZ501318
MGYA00241406	ERZ501319
MGYA00241609	ERZ501320
MGYA00241576	ERZ501321
MGYA00241610	ERZ501322
MGYA00241577	ERZ501323
MGYA00241611	ERZ501324
MGYA00241578	ERZ501325
MGYA00241612	ERZ501326
MGYA00241579	ERZ501327
MGYA00241613	ERZ501328
MGYA00241580	ERZ501329
MGYA00241614	ERZ501330
MGYA00241581	ERZ501331
MGYA00241615	ERZ501332
MGYA00241582	ERZ501333
MGYA00241616	ERZ501334
MGYA00241583	ERZ501335
MGYA00241617	ERZ501336
MGYA00241584	ERZ501337
MGYA00241618	ERZ501338
MGYA00241585	ERZ501339
MGYA00241619	ERZ501340
MGYA00241586	ERZ501341
MGYA00241686	ERZ501342
MGYA00241587	ERZ501343
MGYA00241687	ERZ501344
MGYA00241688	ERZ501346
MGYA00241589	ERZ501347
MGYA00241689	ERZ501348
MGYA00241590	ERZ501349
MGYA00241690	ERZ501350
MGYA00241591	ERZ501351
MGYA00241691	ERZ501352
MGYA00241592	ERZ501353
MGYA00241692	ERZ501354
MGYA00241593	ERZ501355
MGYA00241693	ERZ501356
MGYA00241594	ERZ501357
MGYA00241694	ERZ501358
MGYA00241595	ERZ501359
MGYA00241145	ERZ501360
MGYA00241695	ERZ501361
MGYA00241146	ERZ501362
MGYA00241696	ERZ501363
MGYA00241147	ERZ501364
MGYA00241697	ERZ501365
MGYA00241148	ERZ501366
MGYA00241149	ERZ501367
MGYA00241698	ERZ501368
MGYA00241150	ERZ501369
MGYA00241699	ERZ501370
MGYA00241151	ERZ501371
MGYA00241700	ERZ501372
MGYA00241152	ERZ501373
MGYA00241701	ERZ501374
MGYA00241153	ERZ501375
MGYA00241702	ERZ501376
MGYA00241154	ERZ501377
MGYA00241703	ERZ501378
MGYA00241704	ERZ501380
MGYA00241156	ERZ501381
MGYA00241705	ERZ501382
MGYA00241157	ERZ501383
MGYA00241706	ERZ501384
MGYA00241181	ERZ501385
MGYA00241035	ERZ501386
MGYA00241182	ERZ501387
MGYA00241036	ERZ501388
MGYA00241183	ERZ501389
MGYA00241184	ERZ501391
MGYA00241038	ERZ501392
MGYA00241185	ERZ501393
MGYA00241039	ERZ501394
MGYA00241186	ERZ501395
MGYA00241040	ERZ501396
MGYA00241187	ERZ501397
MGYA00241041	ERZ501398
MGYA00241188	ERZ501399
MGYA00241042	ERZ501400
MGYA00241189	ERZ501401
MGYA00241043	ERZ501402
MGYA00241190	ERZ501403
MGYA00241044	ERZ501404
MGYA00241191	ERZ501405
MGYA00241045	ERZ501406
MGYA00241192	ERZ501407
MGYA00241046	ERZ501408
MGYA00241193	ERZ501409
MGYA00241047	ERZ501410
MGYA00241194	ERZ501411
MGYA00241048	ERZ501412
MGYA00241195	ERZ501413
MGYA00241049	ERZ501414
MGYA00241196	ERZ501415
MGYA00241050	ERZ501416
MGYA00241197	ERZ501417
MGYA00241051	ERZ501418
MGYA00241198	ERZ501419
MGYA00241052	ERZ501420
MGYA00241199	ERZ501421
MGYA00241053	ERZ501422
MGYA00241200	ERZ501423
MGYA00241054	ERZ501424
MGYA00241201	ERZ501425
MGYA00241055	ERZ501426
MGYA00241202	ERZ501427
MGYA00241056	ERZ501428
MGYA00241225	ERZ501429
MGYA00241057	ERZ501430
MGYA00241226	ERZ501431
MGYA00241058	ERZ501432
MGYA00241227	ERZ501433
MGYA00241059	ERZ501434
MGYA00241228	ERZ501435
MGYA00241060	ERZ501436
MGYA00241229	ERZ501437
MGYA00241061	ERZ501438
MGYA00241230	ERZ501439
MGYA00241062	ERZ501440
MGYA00241231	ERZ501441
MGYA00241063	ERZ501442
MGYA00241232	ERZ501443
MGYA00241064	ERZ501444
MGYA00241233	ERZ501445
MGYA00241065	ERZ501446
MGYA00241234	ERZ501447
MGYA00241066	ERZ501448
MGYA00241235	ERZ501449
MGYA00241067	ERZ501450
MGYA00241236	ERZ501451
MGYA00241068	ERZ501452
MGYA00241237	ERZ501453
MGYA00241069	ERZ501454
