ERZ1505402,MGYA00571602
ERZ1292623,MGYA00564398
ERZ1292627,MGYA00593681
ERZ1292643,MGYA00564391
ERZ1292619,MGYA00593677
ERZ1292625,MGYA00564400
ERZ1292638,MGYA00564394
ERZ1292624,MGYA00593680
ERZ1292634,MGYA00564389
ERZ1292642,MGYA00564403
ERZ1292637,MGYA00564405
ERZ1292644,MGYA00564402
ERZ1292645,MGYA00564401
ERZ1292646,MGYA00564390
ERZ1292660,MGYA00593683
ERZ1292626,MGYA00564397
ERZ1292629,MGYA00564399
ERZ1292632,MGYA00564407
ERZ1292635,MGYA00564388
ERZ1292636,MGYA00593682
ERZ1292628,MGYA00564396
ERZ1292616,MGYA00593674
ERZ1292617,MGYA00593675
ERZ1292618,MGYA00593676
ERZ1292641,MGYA00564393
ERZ1292631,MGYA00564395
ERZ1292621,MGYA00593679
ERZ1292622,MGYA00593601
ERZ1292630,MGYA00564408
ERZ1292633,MGYA00564406
ERZ1303544,MGYA00564020
ERZ1505403,MGYA00571601
ERZ1505401,MGYA00572443
ERZ1505398,MGYA00572445
ERZ1292640,MGYA00564404
ERZ1292620,MGYA00593678
ERZ1463017,MGYA00564478
ERZ1463031,MGYA00564488
ERZ1524542,None
ERZ1463014,MGYA00564496
ERZ1463026,MGYA00564501
ERZ1463035,MGYA00564486
ERZ1463037,MGYA00564484
ERZ1463036,MGYA00564485
ERZ1644700,MGYA00572569
ERZ1664517,MGYA00575328
ERZ1524543,None
ERZ1292639,MGYA00564392
ERZ1463028,MGYA00564490
ERZ1644704,MGYA00572563
ERZ1524536,None
ERZ1524540,None
ERZ1505397,MGYA00572446
ERZ1505399,MGYA00572444
ERZ1463027,MGYA00564474
ERZ1463033,MGYA00564481
ERZ1392005,MGYA00563815
ERZ1524535,None
ERZ1524532,None
ERZ1463039,MGYA00564498
ERZ1524538,None
ERZ1463015,MGYA00564502
ERZ3455842,MGYA00590800
ERZ1463034,MGYA00564480
ERZ1463016,MGYA00564495
ERZ1463018,MGYA00564477
ERZ1463020,MGYA00564499
ERZ1463021,MGYA00564494
ERZ1463023,MGYA00564492
ERZ1463024,MGYA00564491
ERZ1463025,MGYA00564475
ERZ1463030,MGYA00564500
ERZ1463032,MGYA00564487
ERZ1463038,MGYA00564479
ERZ1463022,MGYA00564493
ERZ2875177,None
ERZ1524541,None
ERZ1391992,MGYA00563823
ERZ1669372,MGYA00581065
ERZ650270,MGYA00376206
ERZ1463040,MGYA00564473
ERZ1392003,MGYA00563809
ERZ1392009,MGYA00563807
ERZ1524531,None
ERZ2772565,MGYA00587062
ERZ1524534,None
ERZ1392004,MGYA00563816
ERZ1392008,MGYA00563820
ERZ1392006,MGYA00563814
ERZ1463019,MGYA00564476
ERZ2772487,MGYA00587100
ERZ2772518,MGYA00587071
ERZ1664510,MGYA00575337
ERZ1303541,MGYA00564021
ERZ2772540,MGYA00587050
ERZ2772551,MGYA00587079
ERZ1664526,MGYA00575330
ERZ1463029,MGYA00564489
ERZ2227172,MGYA00587259
ERZ2227290,MGYA00587236
ERZ2227351,MGYA00587235
ERZ2227479,MGYA00587214
ERZ2269465,MGYA00585734
ERZ2269675,MGYA00585719
ERZ2270491,MGYA00586850
ERZ2270697,MGYA00586816
ERZ2271158,MGYA00586454
ERZ2271201,MGYA00589821
ERZ2271220,MGYA00586572
ERZ2271682,MGYA00586201
