Enterobacteria phage T2 (taxid=10664, kingdom=10239)
Enterobacteria phage T4 (taxid=10665, kingdom=10239)
Enterobacteria phage T6 (taxid=10666, kingdom=10239)
Escherichia phage P2 (taxid=10679, kingdom=10239)
Enterobacteria phage TuIa (taxid=10686, kingdom=10239)
Vibrio phage CP-T1 (taxid=10689, kingdom=10239)
Enterobacteria phage RB18 (taxid=10692, kingdom=10239)
Enterobacteria phage RB51 (taxid=10693, kingdom=10239)
Streptomyces phage VWB (taxid=10702, kingdom=10239)
Rhizobium phage 16-3 (taxid=10704, kingdom=10239)
Escherichia phage lambda (taxid=10710, kingdom=10239)
Enterobacteria phage P21 (Bacteriophage 21) (taxid=10711, kingdom=10239)
Enterobacteria phage phi80 (taxid=10713, kingdom=10239)
Bacillus phage phi105 (taxid=10717, kingdom=10239)
Streptomyces phage phiC31 (taxid=10719, kingdom=10239)
Bacillus phage SPP1 (taxid=10724, kingdom=10239)
Escherichia phage HK022 (taxid=10742, kingdom=10239)
Salmonella phage P22 (taxid=10754, kingdom=10239)
Shigella phage Sf6 (Shigella flexneri bacteriophage VI) (taxid=10761, kingdom=10239)
Escherichia phage RB69 (taxid=12353, kingdom=10239)
Lactococcus phage phiLC3 (taxid=12390, kingdom=10239)
Streptococcus phage EJ-1 (taxid=12402, kingdom=10239)
Eganvirus PsP3 (taxid=12407, kingdom=10239)
Lactobacillus phage phiadh (taxid=12417, kingdom=10239)
Corynebacterium phage BFK20 (taxid=28358, kingdom=10239)
Mycobacterium phage D29 (taxid=28369, kingdom=10239)
Escherichia phage 186 (taxid=29252, kingdom=10239)
Enterobacteria phage RB3 (taxid=31533, kingdom=10239)
Pseudomonas phage D3 (taxid=31535, kingdom=10239)
Lactococcus phage c2 (taxid=31537, kingdom=10239)
Lactococcus phage BK5-T (taxid=31754, kingdom=10239)
Mycobacterium phage L5 (taxid=31757, kingdom=10239)
Citexvirus phiCTX (taxid=35343, kingdom=10239)
Enterobacteria phage T2L (taxid=36337, kingdom=10239)
Enterobacteria phage RB68 (taxid=36339, kingdom=10239)
Enterobacteria phage RB15 (taxid=36340, kingdom=10239)
Ceduovirus bIL67 (taxid=36343, kingdom=10239)
Lactobacillus phage JCL1032 (taxid=37105, kingdom=10239)
Bacteriophage sp. (taxid=38018, kingdom=10239)
Lactobacillus phage PL-1 (taxid=39103, kingdom=10239)
Listeria phage A118 (taxid=40521, kingdom=10239)
Escherichia phage N15 (taxid=40631, kingdom=10239)
Lactococcus phage r1t (taxid=43685, kingdom=10239)
Enterobacteria phage L (taxid=45441, kingdom=10239)
Mycobacterium phage DS6A (taxid=45764, kingdom=10239)
Escherichia phage SV14 (taxid=47488, kingdom=10239)
Escherichia phage RB49 (taxid=50948, kingdom=10239)
Lactobacillus phage A2 (taxid=51369, kingdom=10239)
Dubowvirus dv80alpha (taxid=53369, kingdom=10239)
Shigella phage SfV (Shigella flexneri bacteriophage V) (taxid=55884, kingdom=10239)
Pneumococcus phage Dp-1 (taxid=59241, kingdom=10239)
Dubowvirus dv85 (taxid=59506, kingdom=10239)
Moineauvirus Sfi21 (taxid=64186, kingdom=10239)
Shigella phage SfII (Shigella flexneri bacteriophage II) (taxid=66284, kingdom=10239)
Escherichia phage AR1 (taxid=66711, kingdom=10239)
Enterobacteria phage RB10 (taxid=69608, kingdom=10239)
Enterobacteria phage RB27 (taxid=69609, kingdom=10239)
Enterobacteria phage RB6 (taxid=69610, kingdom=10239)
Enterobacteria phage RB8 (taxid=69611, kingdom=10239)
Enterobacteria phage RB9 (taxid=69612, kingdom=10239)
Longwoodvirus K139 (taxid=70734, kingdom=10239)
Staphylococcus phage PVL (taxid=71366, kingdom=10239)
Moineauvirus Sfi19 (taxid=72638, kingdom=10239)
Streptococcus phage TP-J34 (taxid=73422, kingdom=10239)
Vibrio phage KVP40 (taxid=75320, kingdom=10239)
Vibrio phage KVP20 (taxid=76041, kingdom=10239)
Salmonella phage FelixO1 (taxid=77775, kingdom=10239)
Brussowvirus Sfi11 (taxid=78541, kingdom=10239)
Streptococcus phage O1205 (taxid=85154, kingdom=10239)
Mycobacterium phage TM4 (taxid=88870, kingdom=10239)
Moineauvirus DT1 (taxid=90410, kingdom=10239)
Lactococcus phage phiQ38 (taxid=100636, kingdom=10239)
Lactococcus phage Q44 (taxid=100638, kingdom=10239)
Lactococcus phage eb1 (taxid=100640, kingdom=10239)
Enterobacteria phage ES18 (taxid=101570, kingdom=10239)
Peduovirus Wphi (taxid=103216, kingdom=10239)
Rhizobium phage RL2RES (taxid=103371, kingdom=10239)
Enterobacteria phage phiP27 (taxid=103807, kingdom=10239)
Moineauvirus mv7201 (taxid=112023, kingdom=10239)
Wolbachia phage WO (taxid=112596, kingdom=10239)
Natrialba phage PhiCh1 (taxid=114777, kingdom=10239)
Enterobacteria phage 1 (taxid=115985, kingdom=10239)
Burkholderia phage 42 (taxid=115986, kingdom=10239)
Biquartavirus 44RR2 (taxid=115987, kingdom=10239)
Enterobacteria phage KC69 (taxid=115990, kingdom=10239)
Pseudotevenvirus RB43 (taxid=115991, kingdom=10239)
Vibrio phage nt-1 (taxid=115992, kingdom=10239)
Staphylococcus prophage phiPV83 (taxid=129009, kingdom=10239)
Triavirus SLT (taxid=130478, kingdom=10239)
Enterobacteria phage HK109 (taxid=131001, kingdom=10239)
Enterobacteria phage HK111 (taxid=131002, kingdom=10239)
Enterobacteria phage HK113 (taxid=131003, kingdom=10239)
Enterobacteria phage HK114 (taxid=131004, kingdom=10239)
Enterobacteria phage HK239 (taxid=131005, kingdom=10239)
Enterobacteria phage HK240 (taxid=131006, kingdom=10239)
Enterobacteria phage HK241 (taxid=131007, kingdom=10239)
Enterobacteria phage PhiD5 (taxid=131008, kingdom=10239)
Enterobacteria phage PhiD124 (taxid=131009, kingdom=10239)
Enterobacteria phage PhiD145 (taxid=131010, kingdom=10239)
Enterobacteria phage PhiD160 (taxid=131011, kingdom=10239)
Phage PhiD218 (taxid=131012, kingdom=10239)
Enterobacteria phage PhiD252 (taxid=131013, kingdom=10239)
Enterobacteria phage PhiD266 (taxid=131014, kingdom=10239)
Enterobacteria phage 18 (taxid=131015, kingdom=10239)
Enterobacteria phage PK (taxid=131016, kingdom=10239)
Enterobacteria phage 299 (taxid=131017, kingdom=10239)
Enterobacteria phage RB33 (taxid=134822, kingdom=10239)
Lactobacillus prophage Lj965 (taxid=139870, kingdom=10239)
Lactobacillus phage Lc-Nu (taxid=146269, kingdom=10239)
Mycobacterium phage Bxb1 (taxid=148603, kingdom=10239)
Lactococcus phage bIL285 (taxid=151535, kingdom=10239)
Lactococcus phage bIL286 (taxid=151536, kingdom=10239)
Lactococcus phage bIL309 (taxid=151537, kingdom=10239)
Enterobacteria phage HK620 (taxid=155148, kingdom=10239)
Enterobacteria phage PP01 (taxid=156995, kingdom=10239)
Streptococcus phage SM1 (taxid=157924, kingdom=10239)
Enterobacteria phage RB2 (taxid=164992, kingdom=10239)
Halobacterium phage phiH (taxid=169684, kingdom=10239)
Listeria phage PSA (taxid=171618, kingdom=10239)
Yersinia phage PY54 (taxid=172667, kingdom=10239)
Salmonella phage ST64T (taxid=173443, kingdom=10239)
Streptococcus phage phiNIH1.1 (taxid=173707, kingdom=10239)
Methanothermobacter phage psiM100 (taxid=173824, kingdom=10239)
Salmonella phage ST64B (taxid=175950, kingdom=10239)
Stanholtvirus E125 (taxid=180504, kingdom=10239)
Triavirus tv12 (taxid=186152, kingdom=10239)
Staphylococcus phage phi13 (taxid=186153, kingdom=10239)
uncultured marine virus (taxid=186617, kingdom=10239)
Vibrio phage 1 (taxid=187944, kingdom=10239)
Bruynoghevirus PaP3 (taxid=188350, kingdom=10239)
Clostridium phage phi3626 (taxid=190478, kingdom=10239)
Enterobacteria phage BP-4795 (taxid=196242, kingdom=10239)
Lactococcus phage 4268 (taxid=201847, kingdom=10239)
Mycobacterium virus Che8 (taxid=205868, kingdom=10239)
Kostyavirus CJW1 (taxid=205869, kingdom=10239)
Mycobacterium phage Bxz2 (taxid=205870, kingdom=10239)
Chenonavirus Che9c (taxid=205872, kingdom=10239)
Avanivirus Che9d (taxid=205876, kingdom=10239)
Mycobacterium phage Omega (taxid=205879, kingdom=10239)
Vibrio phage VHML (taxid=207597, kingdom=10239)
Triavirus tv3a (taxid=215167, kingdom=10239)
uncultured cyanophage (taxid=215796, kingdom=10239)
Enterobacteria phage ST104 (taxid=221029, kingdom=10239)
Lomovskayavirus BT1 (taxid=225588, kingdom=10239)
Cinqassovirus aeh1 (taxid=227470, kingdom=10239)
Peduovirus L413C (taxid=227940, kingdom=10239)
Haemophilus phage Aaphi23 (taxid=230158, kingdom=10239)
Xipdecavirus Xp10 (taxid=232237, kingdom=10239)
Tulanevirus bteighttwo (taxid=233894, kingdom=10239)
Synechococcus phage S-PM2 (taxid=238854, kingdom=10239)
Vibrio phage VP16T (taxid=238892, kingdom=10239)
Vibrio phage VP16C (taxid=238893, kingdom=10239)
Burkholderia phage BcepNazgul (taxid=242861, kingdom=10239)
Tlsvirus TLS (taxid=245685, kingdom=10239)
Enterobacteria phage 2851 (taxid=254397, kingdom=10239)
