MGYP,ERZ_x,MGYC,Start,End,Strand,Contig,MGYA,Contig Length,Phage,Number of CDSes
MGYP001563015078,ERZ1292616,MGYC000052474120,11292,12428,-1,ERZ1292616.995-Hain-H52-01um-R1-995-length-27177-cov-30.626650,MGYA00593674,27.177,False,37
MGYP001563015078,ERZ1292618,MGYC000046170815,14750,15886,1,ERZ1292618.889-Hain-H52-01um-R2-889-length-27605-cov-46.268639,MGYA00593676,27.605,False,36
MGYP001563015078,ERZ1292627,MGYC000038163271,14181,15317,1,ERZ1292627.1042-Hain-H51-01um-R2-1042-length-26869-cov-10.919855,MGYA00593681,26.869,False,30
MGYP001563191364,ERZ1292616,MGYC000052474100,11787,12839,-1,ERZ1292616.975-Hain-H52-01um-R1-975-length-27448-cov-12.035082,MGYA00593674,27.448,False,44
MGYP001563219414,ERZ1292616,MGYC000052473329,8217,9254,-1,ERZ1292616.204-Hain-H52-01um-R1-204-length-56329-cov-57.412269,MGYA00593674,56.329,False,82
MGYP001563219414,ERZ1292618,MGYC000046170109,49530,50567,1,ERZ1292618.183-Hain-H52-01um-R2-183-length-58733-cov-56.273169,MGYA00593676,58.733,False,86
MGYP001563219570,ERZ1292617,MGYC000037943077,21323,22486,-1,ERZ1292617.569-Hain-H52-01um-R3-569-length-36958-cov-36.293743,MGYA00593675,36.958,False,62
MGYP001563305393,ERZ1292616,MGYC000052473566,31248,32621,-1,ERZ1292616.441-Hain-H52-01um-R1-441-length-41786-cov-1118.918262,MGYA00593674,41.786,False,60
MGYP001563305393,ERZ1292617,MGYC000037942940,31435,32808,-1,ERZ1292617.432-Hain-H52-01um-R3-432-length-41973-cov-627.198697,MGYA00593675,41.973,False,60
MGYP001563305393,ERZ1292618,MGYC000046170343,9166,10539,1,ERZ1292618.417-Hain-H52-01um-R2-417-length-41973-cov-1221.008183,MGYA00593676,41.973,False,60
MGYP001563305393,ERZ1292627,MGYC000038162653,9315,10688,1,ERZ1292627.424-Hain-H51-01um-R2-424-length-42289-cov-23.793318,MGYA00593681,42.289,False,60
MGYP001563305393,ERZ1292643,MGYC000032866387,9772,11145,1,ERZ1292643.388-Hain-H51-01um-R3-388-length-42566-cov-51.816212,MGYA00564391,42.566,False,58
MGYP001563389002,ERZ1292616,MGYC000052473653,8913,9839,1,ERZ1292616.528-Hain-H52-01um-R1-528-length-38859-cov-8.621122,MGYA00593674,38.859,False,50
MGYP001563389002,ERZ1292617,MGYC000037942881,30899,31825,-1,ERZ1292617.373-Hain-H52-01um-R3-373-length-44203-cov-8.347015,MGYA00593675,44.203,False,65
MGYP001563389002,ERZ1292618,MGYC000046170296,12090,13016,1,ERZ1292618.370-Hain-H52-01um-R2-370-length-43914-cov-15.391755,MGYA00593676,43.914,False,64
MGYP001563389002,ERZ1292643,MGYC000032866352,11313,12239,1,ERZ1292643.353-Hain-H51-01um-R3-353-length-44131-cov-5.739972,MGYA00564391,44.131,False,64
MGYP001563473996,ERZ1463026,MGYC000057522550,120891,122114,-1,ERZ1463026.1-NODE-1-length-150884-cov-16.711581,MGYA00564501,150.884,False,125
MGYP001563473996,ERZ1463035,MGYC000057177361,111524,112747,-1,ERZ1463035.1-NODE-1-length-159215-cov-16.317863,MGYA00564486,159.215,False,131
MGYP001563516738,ERZ1292627,MGYC000038162613,8959,9888,1,ERZ1292627.384-Hain-H51-01um-R2-384-length-44092-cov-17.932670,MGYA00593681,44.092,False,77
MGYP001563516738,ERZ1292643,MGYC000032866342,34652,35581,-1,ERZ1292643.343-Hain-H51-01um-R3-343-length-44540-cov-23.491447,MGYA00564391,44.54,False,77
MGYP001563552552,ERZ1292617,MGYC000037943145,20373,21596,1,ERZ1292617.637-Hain-H52-01um-R3-637-length-34664-cov-14.170303,MGYA00593675,34.664,False,41
MGYP001563552552,ERZ1292618,MGYC000046170052,59831,61054,-1,ERZ1292618.126-Hain-H52-01um-R2-126-length-67871-cov-6.083417,MGYA00593676,67.871,False,80
MGYP001563703382,ERZ1292618,MGYC000046170305,1323,2657,-1,ERZ1292618.379-Hain-H52-01um-R2-379-length-43782-cov-7.487982,MGYA00593676,43.782,False,80
MGYP001563887314,ERZ1292616,MGYC000052473951,27798,29309,1,ERZ1292616.826-Hain-H52-01um-R1-826-length-30267-cov-6.436184,MGYA00593674,30.267,False,28
MGYP001563887314,ERZ1292617,MGYC000037943264,1767,3278,-1,ERZ1292617.756-Hain-H52-01um-R3-756-length-31075-cov-6.756093,MGYA00593675,31.075,False,29
MGYP001564345782,ERZ1292618,MGYC000046170900,17181,19049,-1,ERZ1292618.974-Hain-H52-01um-R2-974-length-25872-cov-7.690785,MGYA00593676,25.872,False,33
MGYP001564463007,ERZ1292638,MGYC000045004833,11334,12344,1,ERZ1292638.872-NODE-872-length-26396-cov-6.565430,MGYA00564394,26.396,False,29
MGYP001564581846,ERZ1292618,MGYC000046170825,16572,17768,-1,ERZ1292618.899-Hain-H52-01um-R2-899-length-27411-cov-52.098150,MGYA00593676,27.411,False,37
MGYP001564625473,ERZ1292616,MGYC000052473572,8858,9766,1,ERZ1292616.447-Hain-H52-01um-R1-447-length-41320-cov-20.600679,MGYA00593674,41.32,False,60
MGYP001564625473,ERZ1292617,MGYC000037942959,31555,32463,-1,ERZ1292617.451-Hain-H52-01um-R3-451-length-40895-cov-16.503061,MGYA00593675,40.895,False,61
MGYP001564625473,ERZ1292618,MGYC000046170377,30653,31561,-1,ERZ1292618.451-Hain-H52-01um-R2-451-length-40418-cov-32.602458,MGYA00593676,40.418,False,60
MGYP001564801968,ERZ1292616,MGYC000052473987,7799,10093,-1,ERZ1292616.862-Hain-H52-01um-R1-862-length-29500-cov-37.499304,MGYA00593674,29.5,False,43
MGYP001564801968,ERZ1292617,MGYC000037943355,18844,21138,1,ERZ1292617.847-Hain-H52-01um-R3-847-length-29012-cov-26.603654,MGYA00593675,29.012,False,44
MGYP001565449071,ERZ1292616,MGYC000052473794,7396,9249,1,ERZ1292616.669-Hain-H52-01um-R1-669-length-34595-cov-29.850116,MGYA00593674,34.595,False,48
MGYP001565449071,ERZ1292617,MGYC000037943147,7396,9249,1,ERZ1292617.639-Hain-H52-01um-R3-639-length-34595-cov-20.943167,MGYA00593675,34.595,False,48
MGYP001565449071,ERZ1292618,MGYC000046170540,25347,27200,-1,ERZ1292618.614-Hain-H52-01um-R2-614-length-34595-cov-42.909873,MGYA00593676,34.595,False,48
